id,full_name,age,gender,model,color,performance,km,condition,price
1,Dominic Applin,42,Male,Quest,Mauv,299,509305,very bad,40394.91
2,Lenee Eteen,54,Polygender,Rnessa,Orange,109,965853,old,8687.9
3,Kendal Esselin,37,Male,March / Micra,Teal,52,380906,bad,44705.31
4,Nehemiah Marvelley,55,Male,Gloria,Green,336,573171,very good,32889.88
5,Domenic McGeouch,21,Male,Avenir,Khaki,2,809470,old,6949.22
6,Bancroft Le Port,42,Male,Pulsar,Indigo,43,315542,bad,18351.28
7,Arlan Saiger,39,Male,Gloria,Yellow,330,987100,old,40908.59
8,Germaine Nesbitt,30,Genderqueer,Cedric,Turquoise,305,196187,bad,30190.76
9,Nil Dorsey,60,Male,Cedric Y31,Crimson,282,355473,bad,39347.3
10,Meghan Manilove,43,Female,Townstar,Khaki,143,803432,old,32741.96
11,Rayna Chong,42,Polygender,Bluebird Sylphy,Fuscia,174,474229,bad,29325.01
12,Corny Jansema,22,Male,Xterra,Yellow,46,66616,new,19907.9
13,Sammie Bissell,58,Male,Cima,Yellow,333,728227,very bad,13035.25
14,Aleen Wrightam,49,Female,Almera,Yellow,138,475984,bad,42349.49
15,Shelley Twiname,33,Genderfluid,Murano,Fuscia,208,230029,bad,20136.31
16,Carine Charnley,32,Female,Bluebird Sylphy,Maroon,187,209748,bad,29389.02
17,Ezequiel Caisley,37,Male,Frontier,Yellow,231,508091,very bad,42555.03
18,Silas Bowlesworth,48,Male,Sentra,Yellow,145,252099,bad,44868.56
19,Ray Brabyn,30,Male,Rogue Sport,Fuscia,175,706568,very bad,37190.71
20,Sergei MacKeeg,23,Male,Teana,Yellow,176,310883,bad,38649.65
21,Nat Attiwill,42,Female,Rogue Sport,Orange,169,835429,old,11632.27
22,Elizabet Worsell,20,Female,Caravan / Urvan,Maroon,250,515713,very bad,16399.95
23,Ragnar Aspall,18,Male,Frontier,Puce,238,519071,bad,20010.92
24,Dunc Marlow,43,Male,Paladin,Green,310,743445,very bad,13112.36
25,Waite Bundy,54,Male,Bluebird,Puce,95,678723,very bad,38746.71
26,Candi Dickon,51,Female,Juke,Yellow,172,970115,old,32516.04
27,Cairistiona Gladden,54,Female,Patrol,Indigo,273,720665,very bad,41453.64
28,Joshua Hadleigh,49,Male,Almera,Mauv,101,157094,bad,40446.73
29,Nickola Deavin,54,Male,Armada,Purple,262,19209,good,35385.61
30,Isahella Lexa,28,Female,Qashqai / Dualis,Yellow,153,138349,bad,39766.64
31,Abbot McLean,26,Agender,Livina,Violet,103,65952,good,24673.66
32,Salvador Mapston,45,Male,Cedric,Pink,329,301074,bad,12634.2
33,Carey Blagden,28,Female,Murano,Turquoise,221,499037,bad,26680.53
34,Annette Cockerham,50,Female,Armada,Maroon,286,323684,bad,14358.9
35,Ade Biggen,25,Male,Figaro,Maroon,63,398047,bad,22829.87
36,Shellysheldon Shoobridge,39,Male,Cabstar / Atlas,Fuscia,235,41835,good,11510.33
37,Jonis Jzak,32,Female,Maxima,Khaki,283,599980,very bad,13077.61
38,Duff Yalden,48,Male,Xterra,Blue,98,543653,very bad,21054
39,Peri Danilyak,50,Female,NT100 Clipper,Mauv,53,78857,good,22615.02
40,Hadlee Crouse,57,Male,Juke,Blue,172,196432,bad,20587.18
41,Darcy Raiker,19,Male,Paladin,Puce,345,70226,good,43935.5
42,Ellerey Mash,50,Male,Versa,Blue,118,987691,old,9795.06
43,Gunilla Whear,22,Female,Caravan / Urvan,Goldenrod,243,444956,bad,40619.13
44,Tilda Devine,21,Female,Rogue Sport,Mauv,190,586149,very bad,29231.52
45,Joline Joul,31,Female,Kicks,Red,152,207571,bad,34675.29
46,Kingsley Demange,46,Male,NV Cargo,Green,184,630511,very bad,40634.38
47,Emmy Hehnke,22,Male,Livina,Pink,116,236342,bad,39709.56
48,Inger Mourgue,35,Male,Paladin,Mauv,325,867753,old,35026.57
49,Pat Bill,42,Female,Teana,Maroon,198,684883,very bad,18003.75
50,Ave Soars,29,Polygender,NV Passenger,Khaki,197,225675,bad,31460.24
51,Matthew Bertouloume,54,Male,Navara / NP300,Green,231,805341,old,17566.36
52,Esme Klimp,20,Male,Primastar,Violet,231,219647,bad,35392.66
53,Kizzie Abby,49,Female,NV Cargo,Violet,156,772934,old,36166.98
54,Elden Bentley,28,Male,NV100 Clipper,Indigo,61,656098,very bad,16294.17
55,Raine Roselli,47,Female,Pulsar,Green,138,963409,old,10177.38
56,Dana Luckie,24,Male,Townstar,Purple,135,885304,old,40219.97
57,Valentine McChesney,30,Female,Townstar,Puce,148,725738,very bad,20057
58,Cecilio Rowley,46,Male,Figaro,Puce,115,642292,very bad,21221.9
59,Darrick Dowles,40,Male,Navara / NP300,Teal,240,430168,bad,21003.77
60,Dex Giddins,44,Male,Cedric Y31,Purple,253,914416,old,36169.31
61,Tersina Shallcrass,55,Female,Vanette,Pink,35,26965,good,35523.83
62,Kylie Leak,47,Female,Vanette,Yellow,90,45485,very bad,44609.38
63,Shandra Knipe,24,Female,NV Passenger,Puce,181,844044,old,35608.32
